,Tue Jan 21 15:36:12 2020,"2016465473, 2035846038, 2005274577, 2184230429, 2026763889, 2538299743, 1990597524, 2069584151, 1997328047, 2109352893, 2122148443, 2091456956, 2106341525, 2522119927, 2078695450",1997448042,prediction of first grade reading achievement,1967,edward e panther,elementary school journal,1,15,3,NA
,Tue Jan 21 15:36:12 2020,"2016465473, 2035846038, 2005274577, 2184230429, 2026763889, 2538299743, 1990597524, 2069584151, 1997328047, 2109352893, 2122148443, 2091456956, 2106341525, 2522119927, 2078695450",2171003789,parental involvement in the development of children s reading skill a five year longitudinal study,2002,"monique senechal, joanne lefevre",child development,1,1142,58,"This article presents the findings of the final phase of a 5-year longitudinal study with 168 middle- and upper middle-class children in which the complex relations among early home literacy experiences, subsequent receptive language and emergent literacy skills, and reading achievement were examined. Results showed that children’s exposure to books was related to the development of vocabulary and listening comprehension skills, and that these language skills were directly related to children’s reading in grade 3. In contrast, parent involvement in teaching children about reading and writing words was related to the development of early literacy skills. Early literacy skills directly predicted word reading at the end of grade 1 and indirectly predicted reading in grade 3. Word reading at the end of grade 1 predicted reading comprehension in grade 3. Thus, the various pathways that lead to fluent reading have their roots in different aspects of children’s early experiences."
,Tue Jan 21 15:36:12 2020,"2016465473, 2035846038, 2005274577, 2184230429, 2026763889, 2538299743, 1990597524, 2069584151, 1997328047, 2109352893, 2122148443, 2091456956, 2106341525, 2522119927, 2078695450",2075314701,a prospective study of the relationship between specific language impairment phonological disorders and reading retardation,1990,"dorothy v m bishop, catherine adams",journal of child psychology and psychiatry,1,805,32,"Language and literacy skills were assessed in 83 8 1/2-year olds whose language development had been impaired at 4 years of age. Provided that language problems had resolved by age 5 1/2 years, literacy development was normal, but many of the children who still had verbal deficits at 5 1/2 years of age did have reading difficulties and persisting oral language impairments later on. In these children, reading comprehension tended to be poor relative to reading accuracy. Syntactic competence in the preschool period accounted for a substantial proportion of the variance in literacy attainments, after allowing for the effects of non-verbal ability. There were only weak links between expressive phonological disorders and later ability to read either meaningful text or non-words."
,Tue Jan 21 15:36:12 2020,"2016465473, 2035846038, 2005274577, 2184230429, 2026763889, 2538299743, 1990597524, 2069584151, 1997328047, 2109352893, 2122148443, 2091456956, 2106341525, 2522119927, 2078695450",2005750438,a longitudinal investigation of reading outcomes in children with language impairments,2002,"hugh w catts, marc e fey, j bruce tomblin, xuyang zhang",journal of speech language and hearing research,1,728,58,This investigation examined the reading outcomes of children with language impairments (LI). A large subsample of children who participated in an epidemiologic study of language impairments in kind...
,Tue Jan 21 15:36:12 2020,"2016465473, 2035846038, 2005274577, 2184230429, 2026763889, 2538299743, 1990597524, 2069584151, 1997328047, 2109352893, 2122148443, 2091456956, 2106341525, 2522119927, 2078695450",1998447874,language impaired preschoolers a follow up into adolescence,1998,"susan e stothard, margaret j snowling, dorothy v m bishop, barry b chipchase, carole kaplan",journal of speech language and hearing research,1,655,26,"This paper reports a longitudinal follow-up of 71 adolescents with a preschool history of speech-language impairment, originally studied by Bishop and Edmundson (1987). These children had been subdivided at 4 years into those with nonverbal IQ 2 SD below the mean (General Delay group), and those with normal nonverbal intelligence (SU group). At age 5;6 the SU group was subdivided into those whose language problems had resolved, and those with persistent SU. The General Delay group was also followed up. At age 15-16 years, these children were compared with age-matched normal-language controls on a battery of tests of spoken language and literacy skills. Children whose language problems had resolved did not differ from controls on tests of vocabulary and language comprehension skills. However, they performed significantly less well on tests of phonological processing and literacy skill. Children who still had significant language difficulties at 5;6 had significant impairments in all aspects of spoken and written language functioning, as did children classified as having a general delay. These children fell further and further behind their peer group in vocabulary growth over time."
,Tue Jan 21 15:36:12 2020,"2016465473, 2035846038, 2005274577, 2184230429, 2026763889, 2538299743, 1990597524, 2069584151, 1997328047, 2109352893, 2122148443, 2091456956, 2106341525, 2522119927, 2078695450",2033389971,language basis of reading and reading disabilities evidence from a longitudinal investigation,1999,"hugh w catts, marc e fey, xuyang zhang, j bruce tomblin",scientific studies of reading,1,574,61,"This study examined the contributions of phonological processing and oral language abilities to reading and reading disabilities in young children. Two approaches were taken. First, 604 participants were divided into good and poor readers on the basis of reading performance in second grade. Reading groups were then compared in terms of kindergarten phonological processing and other language abilities. In a second approach, multiple regression was employed to investigate the relative contributions of phonological processing and oral language abilities in predicting second-grade reading achievement across reading groups. Results indicated that over 70% of poor readers had a history of language deficits in kindergarten. Most of these children had problems in both phonological processing and oral language. Regression analyses further indicated that oral language and phonological processing abilities each accounted for unique variance in reading achievement. These results suggest that language-based theories o..."
,Tue Jan 21 15:36:12 2020,"2016465473, 2035846038, 2005274577, 2184230429, 2026763889, 2538299743, 1990597524, 2069584151, 1997328047, 2109352893, 2122148443, 2091456956, 2106341525, 2522119927, 2078695450",2979011417,a comprehensive investigation of the relationships between rapid automatised naming orthographic knowledge speed of processing and literacy,2017,kamariani houlis,NA,0,0,81,NA
,Tue Jan 21 15:36:12 2020,"2016465473, 2035846038, 2005274577, 2184230429, 2026763889, 2538299743, 1990597524, 2069584151, 1997328047, 2109352893, 2122148443, 2091456956, 2106341525, 2522119927, 2078695450",2275239885,an investigation of the predictors of emergent literacy skills in junior kindergarten,2014,lisachristine girard,NA,0,0,116,NA
,Tue Jan 21 15:36:12 2020,"2016465473, 2035846038, 2005274577, 2184230429, 2026763889, 2538299743, 1990597524, 2069584151, 1997328047, 2109352893, 2122148443, 2091456956, 2106341525, 2522119927, 2078695450",2941860813,multifactorial pathways facilitate resilience among kindergarteners at risk for dyslexia a longitudinal behavioral and neuroimaging study,2019,"jennifer zuk, jennifer zuk, jennifer zuk, jade dunstan, elizabeth s norton, xi yu, xi yu, ola ozernovpalchik, yingying wang, tiffany p hogan, john d e gabrieli, nadine gaab, nadine gaab",biorxiv,8,0,99,"ABSTRACT NA Recent efforts have focused on screening methods to identify children at risk for dyslexia as early as preschool/kindergarten. Unfortunately, while low sensitivity leads to under-identification of at-risk children, low specificity can lead to over-identification, resulting in inaccurate allocation of limited educational resources. The present study focused on children identified as at-risk in kindergarten who do not subsequently develop dyslexia to specify factors associated with better reading outcomes among at-risk children. Early screening was conducted in kindergarten and a subset of children was tracked longitudinally until second grade. Potential protective factors were evaluated at cognitive-linguistic, environmental, and neural levels. Relative to at-risk kindergarteners who subsequently developed dyslexia, those who did not were characterized by significantly higher socioeconomic status (SES), speech production accuracy, and microstructure of the posterior right-hemispheric superior longitudinal fasciculus (SLF). A positive association between microstructure of the right SLF and subsequent decoding skills was found to be specific to at-risk children and not observed among typical controls. Among at-risk children, several kindergarten-age factors were found to significantly contribute to the prediction of subsequent decoding skills: microstructure of the posterior right SLF, age, gender, SES, and phonological awareness. These findings suggest that putative compensatory mechanisms are already present by the start of kindergarten. The right SLF, in conjunction with the cognitive-linguistic and socioeconomic factors identified, may play an important role in facilitating reading development among at-risk children. This study has important implications for approaches to early screening, and assessment strategies for at-risk children."
,Tue Jan 21 15:36:12 2020,"2016465473, 2035846038, 2005274577, 2184230429, 2026763889, 2538299743, 1990597524, 2069584151, 1997328047, 2109352893, 2122148443, 2091456956, 2106341525, 2522119927, 2078695450",2037921353,the foundations of spelling ability evidence from a 3 year longitudinal study,2001,"marketa caravolas, charles hulme, margaret j snowling",journal of memory and language,1,321,59,"The development of spelling skills was investigated at four points over the first 3 years of schooling in 153 British children. In order to uncover the developmental relationship between spelling and reading ability and to identify the component skills of spelling, children were assessed with a large battery of tests, including reading, phoneme awareness, letter-sound and letter-name knowledge, memory, and verbal and nonverbal IQ. Spelling productions were assessed both for phonological plausibility and for conventional accuracy. A path analysis revealed that phoneme segmentation and letter-sound knowledge were the precursor skills of early phonological spelling ability; in turn phonological spelling combined with reading to promote conventional spelling skill. Although initial phonological spelling ability predicted later reading, early reading ability did not influence later phonological spelling ability. These results indicate that skilled spelling requires a foundation in phonological transcoding ability which in turn enables the formation of orthographic representations. Our data also suggest that the increasingly complex and specific orthographic patterns demonstrated in children's spelling are learned through experience and instruction in both reading and spelling."
